code_insee,commune,pct_fibre,pct_cable,pct_dsl,pct_thd_radio,pct_4g_fixe,pct_hd_radio,pct_satellite,nb_locaux,nb_locaux_fibre,nb_locaux_cable,nb_locaux_dsl,nb_locaux_thd_radio,nb_locaux_4g_fixe,nb_locaux_hd_radio,nb_locaux_satellite
08028,Aubrives,98.3,0.0,100.0,0.0,99.4,0.0,100.0,530,521.0,,530.0,,527.0,,530.0
24322,Périgueux,83.4,57.8,98.3,0.0,100.0,0.0,100.0,25740,21460.0,14877.0,25313.0,,25740.0,,25738.0
60396,Méry-la-Bataille,99.0,0.0,100.0,0.0,100.0,0.0,100.0,291,288.0,,291.0,,291.0,,291.0
56024,Bréhan,0.0,0.0,100.0,0.0,100.0,0.0,100.0,1261,,,1261.0,,1261.0,,1261.0
89141,Dissangis,98.4,0.0,100.0,32.5,100.0,0.0,100.0,123,121.0,,123.0,40.0,123.0,,123.0
42183,La Ricamarie,88.0,0.0,97.7,0.0,100.0,0.0,100.0,4629,4074.0,,4523.0,,4628.0,,4629.0
60516,Puiseux-en-Bray,98.6,0.0,100.0,0.0,100.0,0.0,100.0,218,215.0,,218.0,,218.0,,218.0
51659,Wargemoulin-Hurlus,100.0,0.0,0.0,0.0,100.0,0.0,100.0,33,33.0,,,,33.0,,33.0
33190,Goualade,21.8,0.0,90.8,0.0,92.0,0.0,100.0,87,19.0,,79.0,,80.0,,87.0
10153,Fontaine-Mâcon,96.2,0.0,100.0,0.0,100.0,0.0,100.0,341,328.0,,341.0,,341.0,,341.0
46253,Saint-Chamarand,82.1,0.0,96.2,0.0,98.7,0.0,100.0,235,193.0,,226.0,,232.0,,235.0
27155,Chennebrun,99.1,0.0,100.0,0.0,100.0,0.0,100.0,114,113.0,,114.0,,114.0,,114.0
24088,Cause-de-Clérans,51.7,0.0,100.0,0.0,94.6,0.0,100.0,240,124.0,,240.0,,227.0,,240.0
30283,Saint-Martial,87.5,0.0,100.0,0.0,92.0,0.0,100.0,287,251.0,,287.0,,264.0,,287.0
71502,Sassenay,99.6,0.0,99.1,100.0,100.0,0.0,100.0,795,792.0,,788.0,795.0,795.0,,795.0
67168,Gresswiller,95.6,72.3,100.0,0.0,100.0,0.0,100.0,787,752.0,569.0,787.0,,787.0,,787.0
28053,Le Boullay-les-Deux-Églises,95.2,0.0,100.0,0.0,100.0,0.0,100.0,167,159.0,,167.0,,167.0,,167.0
89281,Les Ormes,95.3,0.0,100.0,91.9,100.0,0.0,100.0,235,224.0,,235.0,216.0,235.0,,235.0
76262,Fesques,82.1,0.0,100.0,0.0,100.0,0.0,100.0,78,64.0,,78.0,,78.0,,78.0
53270,Vieuvy,97.9,0.0,100.0,0.0,100.0,0.0,100.0,94,92.0,,94.0,,94.0,,94.0
93062,Le Raincy,93.9,40.3,94.6,0.0,100.0,0.0,100.0,9396,8819.0,3784.0,8884.0,,9396.0,,9396.0
11436,Villesèque-des-Corbières,87.3,0.0,100.0,0.2,97.4,0.0,100.0,426,372.0,,426.0,1.0,415.0,,426.0
42224,Saint-Genest-Malifaux,99.1,0.0,99.7,0.0,99.3,0.0,100.0,1824,1807.0,,1819.0,,1812.0,,1824.0
27469,Pont-de-l'Arche,84.4,0.0,100.0,0.0,100.0,0.0,100.0,2196,1854.0,,2196.0,,2196.0,,2196.0
67103,Dossenheim-sur-Zinsel,93.4,0.0,98.6,0.0,98.3,0.0,100.0,637,595.0,,628.0,,626.0,,637.0
81292,Tanus,84.8,0.0,100.0,0.0,100.0,0.0,100.0,409,347.0,,409.0,,409.0,,409.0
31396,Nailloux,81.3,0.0,100.0,66.4,100.0,4.1,100.0,2589,2104.0,,2589.0,1718.0,2589.0,105.0,2589.0
62360,Fréthun,92.6,0.0,100.0,0.0,100.0,0.0,100.0,726,672.0,,726.0,,726.0,,726.0
27076,Boisset-les-Prévanches,96.1,0.0,100.0,0.0,100.0,0.0,100.0,258,248.0,,258.0,,258.0,,258.0
07025,Barnas,0.0,0.0,100.0,0.0,99.6,0.0,100.0,285,,,285.0,,284.0,,285.0
17140,Dolus-d'Oléron,89.8,0.0,100.0,0.0,99.9,95.0,100.0,5354,4810.0,,5354.0,,5349.0,5086.0,5353.0
19107,Larche,97.7,0.0,100.0,0.0,100.0,92.5,100.0,975,953.0,,975.0,,975.0,902.0,975.0
62278,Drouvin-le-Marais,99.7,0.0,100.0,0.0,100.0,0.0,100.0,301,300.0,,301.0,,301.0,,301.0
08296,Montcheutin,95.3,0.0,100.0,0.0,100.0,0.0,100.0,86,82.0,,86.0,,86.0,,86.0
40172,Mant,86.2,0.0,100.0,0.0,100.0,0.0,100.0,203,175.0,,203.0,,203.0,,203.0
59339,Leers,89.2,58.2,97.0,0.0,100.0,0.0,100.0,4773,4259.0,2778.0,4631.0,,4773.0,,4773.0
